JS Y-Coord,HPC-1 RPM,HPC-2 RPM
82,0,0
325,0,0
521,0,0
563,0,0
550,0,0
412,0,0
111,0,0
32,0,0
35,0,0
23,0,0
22,0,0
48,502,541
31,623,661
52,525,594
11,0,0
23,480,527
33,532,596
34,568,626
46,574,630
48,607,649
64,632,697
67,708,754
76,723,786
87,721,778
88,779,833
93,807,870
95,799,874
108,806,867
114,820,879
118,863,925
121,879,957
127,916,982
140,911,972
144,964,1025
153,974,1060
161,962,1047
166,1039,1120
27,0,0
36,478,466
46,592,656
75,613,654
83,762,819
99,766,829
110,769,833
113,805,859
115,831,910
116,881,937
130,903,977
131,907,975
134,915,978
152,942,997
153,958,1024
155,958,1039
161,997,1058
179,1094,1156
182,1088,1152
201,1135,1193
217,1213,1280
233,1256,1330
238,1297,1386
250,1347,1415
255,1360,1437
256,1381,1455
274,1420,1501
290,1482,1552
311,1555,1643
321,1595,1671
325,1615,1724
328,1647,1728
338,1697,1781
339,1702,1785
340,1702,1791
344,1707,1791
351,1721,1805
358,1758,1829
362,1769,1858
369,1793,1865
394,1848,1917
405,1898,1972
414,1978,2060
426,1997,2084
429,2000,2086
445,2014,2113
449,2018,2141
456,2064,2160
476,2162,2264
481,2162,2272
483,2193,2289
490,2253,2342
506,2290,2383
508,2286,2391
522,2309,2403
541,2411,2503
550,2469,2564
582,2505,2608
596,2511,2623
604,2535,2630
622,2705,2805
625,2735,2876
631,2789,2883
651,2806,2902
662,2811,2929
665,2838,2939
704,2915,3035
726,3082,3180
742,3148,3235
751,3169,3280
767,3196,3305
778,3228,3321
792,3291,3434
809,3412,3514
827,3468,3595
862,3567,3696
880,3640,3744
892,3735,3829
910,3701,3888
922,3704,3951
934,3909,3990
966,3938,4062
977,4064,4187
976,4114,4236
974,4118,4235
972,4103,4256
966,4098,4223
944,4098,4196
921,4008,4161
903,3950,4050
893,3900,4056
878,3899,4002
865,3817,3871
861,3744,3866
836,3711,3846
806,3677,3812
778,3517,3656
720,3339,3480
675,3158,3291
644,3073,3193
591,2857,2986
544,2583,2728
503,2490,2618
462,2398,2508
414,2187,2310
382,2044,2131
346,1820,1924
297,1734,1830
246,1568,1682
237,1568,1638
226,1440,1545
177,1220,1321
119,1084,1165
104,1059,1134
79,990,1081
26,688,780
19,0,0
29,447,441
44,49,82
48,494,451
49,635,705
71,619,670
72,609,664
74,710,777
79,749,796
98,744,806
132,829,887
144,928,978
158,996,1051
177,1044,1100
182,1057,1130
186,1109,1167
205,1171,1242
206,1153,1227
211,1208,1268
218,1272,1337
224,1291,1359
167,1288,1367
20,267,230
63,144,165
115,695,736
206,902,951
260,1303,1350
214,1360,1406
14,0,0
31,0,67
44,467,463
55,614,665
67,625,690
92,666,716
113,829,886
133,834,902
145,869,928
166,935,992
193,1095,1152
218,1127,1192
233,1148,1208
268,1274,1379
278,1361,1425
291,1444,1498
323,1504,1579
360,1722,1791
374,1736,1811
436,1841,1915
454,1908,1997
481,2010,2086
504,2252,2333
428,2370,2456
404,2363,2453
21,2260,2384
113,0,0
150,835,860
148,1054,1116
150,987,1065
183,980,1043
186,990,1065
211,1139,1177
228,1236,1282
262,1318,1377
303,1415,1479
332,1540,1599
355,1725,1800
366,1761,1837
376,1773,1863
392,1828,1894
411,1861,1962
424,1932,2012
448,2009,2093
479,2094,2178
524,2287,2375
507,2343,2429
485,2399,2524
445,2426,2550
341,2242,2357
296,1936,2072
254,1745,1885
83,1436,1585
901,0,0
899,2357,1937
900,4256,4398
899,3870,3941
898,3762,3949
